id,lead_actor_1,lead_actor_2,lead_actor_3,lead_actor_4
2,Turo Pajala,Susanna Haavisto,Matti Pellonpää,Eetu Hilkamo
3,Matti Pellonpää,Kati Outinen,Sakari Kuosmanen,Esko Nikkari
5,Tim Roth,Jennifer Beals,Antonio Banderas,Valeria Golino
6,Emilio Estevez,Cuba Gooding Jr.,Denis Leary,Stephen Dorff
11,Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing
12,Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe
13,Tom Hanks,Robin Wright,Gary Sinise,Mykelti Williamson
14,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley
15,Orson Welles,Joseph Cotten,Dorothy Comingore,Ray Collins
16,Björk,Catherine Deneuve,David Morse,Peter Stormare
17,Sean Bean,Maria Bello,Richard Elfyn,Maurice Roëves
18,Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm
19,Gustav Fröhlich,Brigitte Helm,Alfred Abel,Rudolf Klein-Rogge
20,Sarah Polley,Amanda Plummer,Scott Speedman,Mark Ruffalo
22,Johnny Depp,Orlando Bloom,Keira Knightley,Geoffrey Rush
24,Uma Thurman,Lucy Liu,Vivica A. Fox,Daryl Hannah
25,Jamie Foxx,Jake Gyllenhaal,Peter Sarsgaard,Scott MacDonald
26,Lior Ashkenazi,Knut Berger,Caroline Peters,Gideon Shemer
27,Kieran O'Brien,Margo Stilley,Courtney Taylor-Taylor,Alex Kapranos
28,Marlon Brando,Robert Duvall,Martin Sheen,Frederic Forrest
33,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris
35,Dan Castellaneta,Julie Kavner,Nancy Cartwright,Yeardley Smith
38,Jim Carrey,Kate Winslet,Kirsten Dunst,Mark Ruffalo
55,Gael García Bernal,Vanessa Bauche,Goya Toledo,Álvaro Guerrero
58,Johnny Depp,Orlando Bloom,Keira Knightley,Stellan Skarsgård
59,Viggo Mortensen,Maria Bello,Heidi Hayes,Ashton Holmes
62,Keir Dullea,Gary Lockwood,William Sylvester,Douglas Rain
63,Bruce Willis,Madeleine Stowe,Brad Pitt,Christopher Plummer
64,Leonor Watling,Rosario Flores,Javier Cámara,Darío Grandinetti
65,Eminem,Mekhi Phifer,Brittany Murphy,Kim Basinger
66,Clint Eastwood,Gene Hackman,Ed Harris,Laura Linney
67,Ali Suliman,Amer Hlehel,Hiam Abbass,Ashraf Barhom
68,Jonathan Pryce,Robert De Niro,Katherine Helmond,Ian Holm
69,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick
70,Clint Eastwood,Hilary Swank,Morgan Freeman,Jay Baruchel
71,Jamie Bell,Gary Lewis,Julie Walters,Jean Heywood
73,Edward Norton,Edward Furlong,Beverly D'Angelo,Elliott Gould
74,Tom Cruise,Dakota Fanning,Miranda Otto,Justin Chatwin
75,Jack Nicholson,Glenn Close,Annette Bening,Pierce Brosnan
76,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl
77,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior
78,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos
79,Jet Li,Tony Leung Chiu-wai,Maggie Cheung,Donnie Yen
80,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès
81,Sumi Shimamoto,Ichirō Nagai,Gorō Naya,Yōji Matsuda
82,Jamie Foxx,Colin Farrell,Gong Li,Naomie Harris
83,Blanchard Ryan,Daniel Travis,Saul Stein,Michael E. Williamson
85,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies
86,Christian Ulmen,Moritz Bleibtreu,Martina Gedeck,Franka Potente
87,Harrison Ford,Kate Capshaw,Jonathan Ke Quan,Amrish Puri
88,Jennifer Grey,Patrick Swayze,Jerry Orbach,Cynthia Rhodes
89,Harrison Ford,Sean Connery,Denholm Elliott,Alison Doody
90,Eddie Murphy,Judge Reinhold,John Ashton,Lisa Eilbacher
91,x,x,x,x
93,James Stewart,Lee Remick,Ben Gazzara,Arthur O'Connell
95,Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler
96,Eddie Murphy,Judge Reinhold,John Ashton,Ronny Cox
97,Jeff Bridges,Bruce Boxleitner,David Warner,Cindy Morgan
98,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed
99,Cecilia Roth,Marisa Paredes,Penélope Cruz,Candela Peña
100,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham
101,Jean Reno,Natalie Portman,Gary Oldman,Danny Aiello
102,Sonja Richter,Nikolaj Lie Kaas,Mads Mikkelsen,Paprika Steen
103,Robert De Niro,Jodie Foster,Albert Brooks,Harvey Keitel
104,Franka Potente,Moritz Bleibtreu,Herbert Knaup,Nina Petri
105,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover
106,Arnold Schwarzenegger,Carl Weathers,Elpidia Carrillo,Jesse Ventura
107,Benicio del Toro,Dennis Farina,Vinnie Jones,Brad Pitt
108,Juliette Binoche,Benoît Régent,Florence Pernel,Charlotte Véry
109,Zbigniew Zamachowski,Julie Delpy,Janusz Gajos,Jerzy Stuhr
110,Irène Jacob,Jean-Louis Trintignant,Jean-Pierre Lorit,Frédérique Feder
111,Al Pacino,Steven Bauer,Michelle Pfeiffer,Mary Elizabeth Mastrantonio
112,Peter Gantzler,Ann Eleonora Jørgensen,Anders W. Berthelsen,Anette Støvelbæk
113,Oh Yeong-su,Kim Ki-duk,Kim Young-min,Seo Jae-kyeong
114,Richard Gere,Julia Roberts,Ralph Bellamy,Jason Alexander
115,Jeff Bridges,John Goodman,Steve Buscemi,Julianne Moore
116,Jonathan Rhys Meyers,Scarlett Johansson,Emily Mortimer,Brian Cox
117,Kevin Costner,Sean Connery,Charles Martin Smith,Andy García
118,Johnny Depp,Freddie Highmore,David Kelly,Helena Bonham Carter
120,Elijah Wood,Ian McKellen,Liv Tyler,Viggo Mortensen
121,Elijah Wood,Ian McKellen,Liv Tyler,Viggo Mortensen
122,Elijah Wood,Ian McKellen,Liv Tyler,Viggo Mortensen
123,Christopher Guard,William Squire,Michael Scholes,John Hurt
127,Bogusław Linda,Tadeusz Łomnicki,Zbigniew Zapasiewicz,Bogusława Pawelec
128,Yōji Matsuda,Yuriko Ishida,Yūko Tanaka,Kaoru Kobayashi
129,Rumi Hiiragi,Miyu Irino,Mari Natsuki,Takashi Naitō
132,Mick Jagger,Keith Richards,Charlie Watts,Bill Wyman
134,George Clooney,John Turturro,Tim Blake Nelson,Chris Thomas King
135,Bob Dylan,Albert Grossman,Bob Neuwirth,Joan Baez
136,Harry Earles,Olga Baclanova,Daisy Earles,Henry Victor
137,Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky
138,Bela Lugosi,Helen Chandler,David Manners,Dwight Frye
140,Gael García Bernal,Fele Martínez,Daniel Giménez Cacho,Lluís Homar
141,Jake Gyllenhaal,Jena Malone,James Duval,Drew Barrymore
142,Heath Ledger,Jake Gyllenhaal,Michelle Williams,Anne Hathaway
143,Louis Wolheim,Lew Ayres,John Wray,Arnold Lucy
144,Bruno Ganz,Solveig Dommartin,Otto Sander,Curt Bois
145,Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Jean-Marc Barr
146,Chow Yun-Fat,Michelle Yeoh,Zhang Ziyi,Chang Chen
147,Jean-Pierre Léaud,Claire Maurier,Albert Rémy,Georges Flamant
148,Sarah Polley,Tim Robbins,Javier Cámara,Danny Cunningham
149,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tesshou Genda
150,Nick Nolte,Eddie Murphy,Annette O'Toole,Frank McRae
152,William Shatner,Leonard Nimoy,DeForest Kelley,Stephen Collins
153,Bill Murray,Scarlett Johansson,Giovanni Ribisi,Anna Faris
154,William Shatner,Leonard Nimoy,DeForest Kelley,Ricardo Montalban
155,Christian Bale,Heath Ledger,Michael Caine,Gary Oldman
156,Jamie Sives,Adrian Rawlins,Shirley Henderson,Lisa McKinlay
157,William Shatner,DeForest Kelley,Robin Curtis,Merritt Butrick
158,Til Schweiger,Jan Josef Liefers,Thierry van Werveke,Moritz Bleibtreu
160,Madeleine Koehler,Marcel Koehler,Mrs. Auguste Lumière,Jeanne-Joséphine Lumière
161,George Clooney,Brad Pitt,Matt Damon,Andy García
162,Johnny Depp,Winona Ryder,Dianne Wiest,Alan Arkin
163,George Clooney,Brad Pitt,Matt Damon,Catherine Zeta-Jones
164,Audrey Hepburn,George Peppard,Patricia Neal,Buddy Ebsen
165,Michael J. Fox,Christopher Lloyd,Lea Thompson,Thomas F. Wilson
166,Claude Brasseur,Brigitte Fossey,Sophie Marceau,Denise Grey
167,Jeff Bridges,Kevin Spacey,Mary McCormack,Alfre Woodard
168,William Shatner,Catherine Hicks,Leonard Nimoy,DeForest Kelley
169,Danny Glover,Gary Busey,Rubén Blades,María Conchita Alonso
170,Cillian Murphy,Naomie Harris,Brendan Gleeson,Megan Burns
171,Claude Brasseur,Brigitte Fossey,Sophie Marceau,Denise Grey
172,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan
173,Kirk Douglas,James Mason,Paul Lukas,Peter Lorre
174,William Shatner,Leonard Nimoy,DeForest Kelley,Kim Cattrall
175,Jean-Marc Barr,Jean Reno,Rosanna Arquette,Paul Shenar
176,Cary Elwes,Leigh Whannell,Danny Glover,Monica Potter
177,Jeff Bridges,Robin Williams,Mercedes Ruehl,Amanda Plummer
178,Jeff Bridges,Tommy Lee Jones,Suzy Amis,Lloyd Bridges
179,Nicole Kidman,Sean Penn,Catherine Keener,Jesper Christensen
180,Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow
182,George Clooney,Cate Blanchett,Tobey Maguire,Beau Bridges
183,Fred Savage,Luke Edwards,Jenny Lewis,Beau Bridges
184,Pam Grier,Samuel L. Jackson,Robert De Niro,Bridget Fonda
185,Malcolm McDowell,Patrick Magee,Adrienne Corri,Michael Bates
186,Josh Hartnett,Morgan Freeman,Ben Kingsley,Lucy Liu
187,Bruce Willis,Jessica Alba,Clive Owen,Mickey Rourke
189,Mickey Rourke,Jessica Alba,Bruce Willis,Josh Brolin
192,Sean Connery,F. Murray Abraham,Christian Slater,Helmut Qualtinger
193,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton
194,Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta
195,Miriam Hopkins,Kay Francis,Herbert Marshall,Charles Ruggles
196,Michael J. Fox,Christopher Lloyd,Mary Steenburgen,Thomas F. Wilson
197,Mel Gibson,Catherine McCormack,Sophie Marceau,Patrick McGoohan
198,Carole Lombard,Jack Benny,Robert Stack,Felix Bressart
199,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton
200,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton
201,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton
203,Robert De Niro,Harvey Keitel,David Proval,Amy Robinson
204,Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli
205,Don Cheadle,Sophie Okonedo,Nick Nolte,Fana Mokoena
206,Kiefer Sutherland,Alun Armstrong,Nastassja Kinski,Thomas Heinze
207,Robin Williams,Ethan Hawke,Robert Sean Leonard,Gale Hansen
212,Cary Grant,Priscilla Lane,Raymond Massey,Jack Carson
213,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis
214,Tobin Bell,Shawnee Smith,Angus Macfadyen,Bahar Soomekh
215,Tobin Bell,Donnie Wahlberg,Shawnee Smith,Erik Knudsen
216,Brigitte Mira,El Hedi ben Salem,Irm Hermann,Barbara Valentin
217,Harrison Ford,Cate Blanchett,Karen Allen,Shia LaBeouf
218,Linda Hamilton,Michael Biehn,Arnold Schwarzenegger,Paul Winfield
219,Penélope Cruz,Carmen Maura,Lola Dueñas,Blanca Portillo
220,James Dean,Julie Harris,Raymond Massey,Richard Davalos
221,James Dean,Natalie Wood,Sal Mineo,Jim Backus
222,x,x,x,x
223,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson
226,Hilary Swank,Chloë Sevigny,Peter Sarsgaard,Brendan Sexton III
227,C. Thomas Howell,Matt Dillon,Ralph Macchio,Patrick Swayze
228,Emil Jannings,Marlene Dietrich,Kurt Gerron,Rosa Valetti
229,Boris Karloff,Colin Clive,Valerie Hobson,Ernest Thesiger
231,George Clooney,Matt Damon,Jeffrey Wright,Chris Cooper
232,Matt Dillon,Mickey Rourke,Diane Lane,Dennis Hopper
233,Ken Wahl,John Friedrich,Karen Allen,Toni Kalem
234,Werner Krauß,Conrad Veidt,Friedrich Fehér,Lil Dagover
235,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell
236,Toni Collette,Bill Hunter,Rachel Griffiths,Sophie Lee
237,Ewan McGregor,Tilda Swinton,Peter Mullan,Emily Mortimer
238,Marlon Brando,Al Pacino,James Caan,Robert Duvall
239,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft
240,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton
241,Woody Harrelson,Juliette Lewis,Robert Downey Jr.,Tommy Lee Jones
242,Al Pacino,Diane Keaton,Talia Shire,Andy García
243,John Cusack,Iben Hjejle,Todd Louiso,Jack Black
244,Robert Armstrong,Fay Wray,Bruce Cabot,Frank Reicher
245,Hugh Grant,Nicholas Hoult,Toni Collette,Rachel Weisz
246,Takeshi Kitano,Tadanobu Asano,Michiyo Ookusu,Yûko Daike
247,Sterling Hayden,Coleen Gray,Vince Edwards,Jay C. Flippen
248,Glenn Ford,Bette Davis,Hope Lange,Arthur O'Connell
249,Kathleen Turner,Michael Douglas,Danny DeVito,Marianne Sägebrecht
250,Dejan Čukić,Kim Bodnia,Brian Patterson,Nikolaj Lie Kaas
251,Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn
252,Gene Wilder,Peter Ostrum,Jack Albertson,Roy Kinnear
253,Roger Moore,Yaphet Kotto,Jane Seymour,Clifton James
254,Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann
255,Jean-Pierre Léaud,Claude Jade,Delphine Seyrig,Michael Lonsdale
256,Jean-Pierre Léaud,Marie-France Pisier,Rosy Varte,François Darbon
257,Barney Clark,Ben Kingsley,Jamie Foreman,Harry Eden
258,Jean-Pierre Léaud,Claude Jade,Daniel Ceccaldi,Claire Duhamel
259,Jean-Pierre Léaud,Marie-France Pisier,Claude Jade,Dani
260,Robert Donat,Madeleine Carroll,Lucie Mannheim,Godfrey Tearle
261,Elizabeth Taylor,Paul Newman,Burl Ives,Judith Anderson
262,Robert De Niro,Jerry Lewis,Sandra Bernhard,Diahnne Abbott
266,Brigitte Bardot,Michel Piccoli,Jack Palance,Giorgia Moll
267,Liberto Rabal,Francesca Neri,Javier Bardem,Penélope Cruz
268,Michael Keaton,Jack Nicholson,Kim Basinger,Robert Wuhl
269,Jean-Paul Belmondo,Jean Seberg,Daniel Boulanger,Jean-Pierre Melville
271,Hanna Zetterberg,Dan Håfström,Börje Ahlstedt,Lena Nyman
272,Christian Bale,Michael Caine,Liam Neeson,Katie Holmes
274,Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine
275,Frances McDormand,William H. Macy,Steve Buscemi,Bruce Bohne
276,Daniel Brühl,Julia Jentsch,Stipe Erceg,Burghart Klaußner
277,Kate Beckinsale,Scott Speedman,Michael Sheen,Shane Brolly
278,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler
279,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice
280,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick
281,Ralph Fiennes,Angela Bassett,Tom Sizemore,Juliette Lewis
284,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston
285,Johnny Depp,Orlando Bloom,Keira Knightley,Geoffrey Rush
287,Kevin Costner,Susan Sarandon,Tim Robbins,Trey Wilson
288,Gary Cooper,Grace Kelly,Thomas Mitchell,Lloyd Bridges
289,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains
290,John Turturro,John Goodman,Judy Davis,Michael Lerner
291,Jeff Clark,Darrick Doerner,Laird Hamilton,Dave Kalama
292,Dave Chappelle,Erykah Badu,Common,Yasiin Bey
293,Craig Sheffer,Brad Pitt,Tom Skerritt,Brenda Blethyn
294,Helen Shaver,Patricia Charbonneau,Audra Lindley,Andra Akers
296,Arnold Schwarzenegger,Nick Stahl,Claire Danes,Kristanna Loken
297,Brad Pitt,Anthony Hopkins,Claire Forlani,Jake Weber
298,George Clooney,Brad Pitt,Matt Damon,Al Pacino
299,Frank Sinatra,Dean Martin,Sammy Davis Jr.,Peter Lawford
300,Gael García Bernal,Charlotte Gainsbourg,Miou-Miou,Alain Chabat
301,John Wayne,Dean Martin,Ricky Nelson,Angie Dickinson
302,Charlotte Rampling,Ludivine Sagnier,Charles Dance,Jean-Marie Lamour
303,Ingrid Bergman,Cary Grant,Claude Rains,Leopoldine Konstantin
306,Eddie Murphy,Judge Reinhold,Héctor Elizondo,Gilbert R. Hill
