id,director
2,Aki Kaurismäki
3,Aki Kaurismäki
5,Allison Anders
6,Stephen Hopkins
11,George Lucas
12,Andrew Stanton
13,Robert Zemeckis
14,Sam Mendes
15,Orson Welles
16,Lars von Trier
17,John Fawcett
18,Luc Besson
19,Fritz Lang
20,Isabel Coixet
22,Gore Verbinski
24,Quentin Tarantino
25,Sam Mendes
26,Eytan Fox
27,Michael Winterbottom
28,Francis Ford Coppola
33,Clint Eastwood
35,David Silverman
38,Michel Gondry
55,Alejandro González Iñárritu
58,Gore Verbinski
59,David Cronenberg
62,Stanley Kubrick
63,Terry Gilliam
64,Pedro Almodóvar
65,Curtis Hanson
66,Clint Eastwood
67,Hany Abu-Assad
68,Terry Gilliam
69,James Mangold
70,Clint Eastwood
71,Stephen Daldry
73,Tony Kaye
74,Steven Spielberg
75,Tim Burton
76,Richard Linklater
77,Christopher Nolan
78,Ridley Scott
79,Zhang Yimou
80,Richard Linklater
81,Hayao Miyazaki
82,Michael Mann
83,Chris Kentis
85,Steven Spielberg
86,Oskar Roehler
87,Steven Spielberg
88,Emile Ardolino
89,Steven Spielberg
90,Martin Brest
91,Luis Buñuel
93,Otto Preminger
95,Michael Bay
96,Tony Scott
97,Steven Lisberger
98,Ridley Scott
99,Pedro Almodóvar
100,Guy Ritchie
101,Luc Besson
102,Susanne Bier
103,Martin Scorsese
104,Tom Tykwer
105,Robert Zemeckis
106,John McTiernan
107,Guy Ritchie
108,Krzysztof Kieślowski
109,Krzysztof Kieślowski
110,Krzysztof Kieślowski
111,Brian De Palma
112,Lone Scherfig
113,Kim Ki-duk
114,Garry Marshall
115,Joel Coen
116,Woody Allen
117,Brian De Palma
118,Tim Burton
120,Peter Jackson
121,Peter Jackson
122,Peter Jackson
123,Ralph Bakshi
127,Krzysztof Kieślowski
128,Hayao Miyazaki
129,Hayao Miyazaki
132,Albert Maysles
134,Joel Coen
135,D. A. Pennebaker
136,Tod Browning
137,Harold Ramis
138,Tod Browning
140,Pedro Almodóvar
141,Richard Kelly
142,Ang Lee
143,Lewis Milestone
144,Wim Wenders
145,Lars von Trier
146,Ang Lee
147,François Truffaut
148,Isabel Coixet
149,Katsuhiro Otomo
150,Walter Hill
152,Robert Wise
153,Sofia Coppola
154,Nicholas Meyer
155,Christopher Nolan
156,Lone Scherfig
157,Leonard Nimoy
158,Thomas Jahn
160,Auguste Lumière
161,Steven Soderbergh
162,Tim Burton
163,Steven Soderbergh
164,Blake Edwards
165,Robert Zemeckis
166,Claude Pinoteau
167,Iain Softley
168,Leonard Nimoy
169,Stephen Hopkins
170,Danny Boyle
171,Claude Pinoteau
172,William Shatner
173,Richard Fleischer
174,Nicholas Meyer
175,Luc Besson
176,James Wan
177,Terry Gilliam
178,Stephen Hopkins
179,Sydney Pollack
180,Steven Spielberg
182,Steven Soderbergh
183,Todd Holland
184,Quentin Tarantino
185,Stanley Kubrick
186,Paul McGuigan
187,Robert Rodriguez
189,Robert Rodriguez
192,Jean-Jacques Annaud
193,David Carson
194,Jean-Pierre Jeunet
195,Ernst Lubitsch
196,Robert Zemeckis
197,Mel Gibson
198,Ernst Lubitsch
199,Jonathan Frakes
200,Jonathan Frakes
201,Stuart Baird
203,Martin Scorsese
204,Henri-Georges Clouzot
205,Terry George
206,Mario Andreacchio
207,Peter Weir
212,Frank Capra
213,Alfred Hitchcock
214,Darren Lynn Bousman
215,Darren Lynn Bousman
216,Rainer Werner Fassbinder
217,Steven Spielberg
218,James Cameron
219,Pedro Almodóvar
220,Elia Kazan
221,Nicholas Ray
222,Walter Ruttmann
223,Alfred Hitchcock
226,Kimberly Peirce
227,Francis Ford Coppola
228,Josef von Sternberg
229,James Whale
231,Stephen Gaghan
232,Francis Ford Coppola
233,Philip Kaufman
234,Robert Wiene
235,Rob Reiner
236,P.J. Hogan
237,David Mackenzie
238,Francis Ford Coppola
239,Billy Wilder
240,Francis Ford Coppola
241,Oliver Stone
242,Francis Ford Coppola
243,Stephen Frears
244,Merian C. Cooper
245,Chris Weitz
246,Takeshi Kitano
247,Stanley Kubrick
248,Frank Capra
249,Danny DeVito
250,Lasse Spang Olsen
251,Jerry Zucker
252,Mel Stuart
253,Guy Hamilton
254,Peter Jackson
255,François Truffaut
256,François Truffaut
257,Roman Polanski
258,François Truffaut
259,François Truffaut
260,Alfred Hitchcock
261,Richard Brooks
262,Martin Scorsese
266,Jean-Luc Godard
267,Pedro Almodóvar
268,Tim Burton
269,Jean-Luc Godard
271,Tage Danielsson
272,Christopher Nolan
274,Jonathan Demme
275,Joel Coen
276,Hans Weingartner
277,Len Wiseman
278,Frank Darabont
279,Miloš Forman
280,James Cameron
281,Kathryn Bigelow
284,Billy Wilder
285,Gore Verbinski
287,Ron Shelton
288,Fred Zinnemann
289,Michael Curtiz
290,Joel Coen
291,Stacy Peralta
292,Michel Gondry
293,Robert Redford
294,Donna Deitch
296,Jonathan Mostow
297,Martin Brest
298,Steven Soderbergh
299,Lewis Milestone
300,Michel Gondry
301,Howard Hawks
302,François Ozon
303,Alfred Hitchcock
306,John Landis
307,Roberto Rossellini
308,Jim Jarmusch
309,Thomas Vinterberg
310,Tom Shadyac
311,Sergio Leone
313,Marc Evans
314,Pitof
315,Russ Meyer
318,Wim Wenders
319,Tony Scott
320,Christopher Nolan
321,Émile Gaudreault
322,Clint Eastwood
326,David R. Ellis
327,Takeshi Kitano
329,Steven Spielberg
332,David Kellogg
334,Paul Thomas Anderson
335,Sergio Leone
336,Sergio Leone
337,François Dupeyron
338,Wolfgang Becker
339,Jim Jarmusch
340,Liev Schreiber
342,Marco Kreuzpaintner
343,Hal Ashby
344,Peter Thorwarth
345,Stanley Kubrick
346,Akira Kurosawa
348,Ridley Scott
350,David Frankel
363,Fatih Akın
364,Tim Burton
377,Wes Craven
378,Joel Coen
379,Joel Coen
380,Barry Levinson
381,Alfred Hitchcock
383,Gus Van Sant
387,Wolfgang Petersen
388,Spike Lee
389,Sidney Lumet
390,Wim Wenders
391,Sergio Leone
392,Lasse Hallström
393,Quentin Tarantino
395,Paul W. S. Anderson
396,Mike Nichols
397,Lawrence Kasdan
398,Bennett Miller
400,Gary Fleder
401,Zach Braff
402,Paul Verhoeven
403,Bruce Beresford
404,David Lynch
405,Federico Fellini
406,Mathieu Kassovitz
408,David Hand
409,Anthony Minghella
411,Andrew Adamson
414,Joel Schumacher
415,Joel Schumacher
421,Wes Anderson
422,Federico Fellini
423,Roman Polanski
424,Steven Spielberg
425,Chris Wedge
426,Alfred Hitchcock
427,Jacques Tati
429,Sergio Leone
430,Billy Wilder
431,Vincenzo Natali
433,Robert Stevenson
435,Roland Emmerich
436,Joshua Marston
437,Andrzej Sekula
438,Ernie Barbarash
439,Federico Fellini
440,Colin Strause
441,Michel Gondry
445,Michael Haneke
451,Mike Figgis
452,Lars von Trier
453,Ron Howard
454,Baz Luhrmann
455,Gurinder Chadha
457,Ernst Marischka
458,Ernst Marischka
459,Ernst Marischka
462,Steven Soderbergh
464,Kay Pollak
466,Alan J. Pakula
467,Nick Hamm
468,Gus Van Sant
469,Jim Jarmusch
470,Alejandro González Iñárritu
473,Darren Aronofsky
475,Arthur Penn
476,Gus Van Sant
479,John Singleton
480,Mira Nair
481,Alberto Rodríguez Librero
482,Gordon Parks
483,David Lynch
488,John Huston
489,Gus Van Sant
490,Ingmar Bergman
492,Spike Jonze
493,Gordon Parks
494,John Guillermin
496,Larry Charles
497,Frank Darabont
499,Agnès Varda
500,Quentin Tarantino
501,Werner Herzog
502,Sidney Lumet
503,Wolfgang Petersen
504,Patty Jenkins
505,Walter Hill
506,Alfred Hitchcock
507,Roger Avary
508,Richard Curtis
509,Roger Michell
510,Miloš Forman
512,Woody Allen
521,Alfred Hitchcock
522,Tim Burton
523,Hans-Christian Schmid
524,Martin Scorsese
525,John Landis
526,Richard Donner
527,Lee Tamahori
530,Nick Park
531,Nick Park
532,Nick Park
533,Nick Park
534,McG
535,Adrian Lyne
539,Alfred Hitchcock
540,Angela Robinson
541,Otto Preminger
542,Carlos Carrera
543,Alfred Hitchcock
544,Bobby Farrelly
546,Duncan Tucker
547,Robert Redford
548,Akira Kurosawa
549,Julian Schnabel
550,David Fincher
551,Ronald Neame
552,Silvio Soldini
553,Lars von Trier
554,Aleksandr Rogozhkin
557,Sam Raimi
558,Sam Raimi
559,Sam Raimi
560,Fritz Lang
561,Francis Lawrence
562,John McTiernan
563,Paul Verhoeven
564,Stephen Sommers
565,Gore Verbinski
567,Alfred Hitchcock
568,Ron Howard
570,Catherine Breillat
571,Alfred Hitchcock
572,Pål Sletaune
573,Alfred Hitchcock
574,Alfred Hitchcock
575,Oliver Hirschbiegel
576,Sam Peckinpah
577,Gus Van Sant
578,Steven Spielberg
579,Jeannot Szwarc
580,Joseph Sargent
581,Kevin Costner
582,Florian Henckel von Donnersmarck
583,Terry Jones
584,John Singleton
585,Pete Docter
586,Barry Levinson
587,Tim Burton
588,Christophe Gans
590,Stephen Daldry
591,Ron Howard
592,Francis Ford Coppola
593,Andrei Tarkovsky
594,Steven Spielberg
595,Robert Mulligan
596,John Ford
597,James Cameron
598,Fernando Meirelles
599,Billy Wilder
600,Stanley Kubrick
601,Steven Spielberg
602,Roland Emmerich
603,Lilly Wachowski
604,Lilly Wachowski
605,Lilly Wachowski
606,Sydney Pollack
607,Barry Sonnenfeld
608,Barry Sonnenfeld
609,Tobe Hooper
612,Steven Spielberg
613,Oliver Hirschbiegel
614,Ingmar Bergman
615,Mel Gibson
616,Edward Zwick
617,John McNaughton
618,D. W. Griffith
619,Mick Jackson
620,Ivan Reitman
621,Randal Kleiser
622,Roman Polanski
623,Charles Crichton
624,Dennis Hopper
625,Roland Joffé
626,Luis Buñuel
627,Danny Boyle
628,Neil Jordan
629,Bryan Singer
630,Victor Fleming
631,F.W. Murnau
632,Billy Wilder
633,Paul Verhoeven
634,Sharon Maguire
635,Alan Parker
636,George Lucas
637,Roberto Benigni
638,David Lynch
639,Rob Reiner
640,Steven Spielberg
641,Darren Aronofsky
642,George Roy Hill
643,Sergei Eisenstein
644,Steven Spielberg
646,Terence Young
647,Tetsuya Nomura
648,Jean Cocteau
649,Luis Buñuel
650,John Singleton
651,Robert Altman
652,Wolfgang Petersen
653,F.W. Murnau
654,Elia Kazan
655,Wim Wenders
657,Terence Young
658,Guy Hamilton
659,Volker Schlöndorff
660,Terence Young
661,Rainer Werner Fassbinder
662,Chris Marker
663,Darren Lynn Bousman
664,Jan de Bont
665,William Wyler
666,Walter Salles
667,Lewis Gilbert
668,Peter R. Hunt
669,Robert J. Flaherty
670,Park Chan-wook
671,Chris Columbus
672,Chris Columbus
673,Alfonso Cuarón
674,Mike Newell
675,David Yates
676,Michael Bay
677,Leni Riefenstahl
678,Jacques Tourneur
679,James Cameron
680,Quentin Tarantino
681,Guy Hamilton
682,Guy Hamilton
686,Robert Zemeckis
687,Tim Robbins
688,Clint Eastwood
690,Robert Bresson
691,Lewis Gilbert
692,John Waters
693,Jay Roach
694,Stanley Kubrick
695,Robert Altman
696,Woody Allen
697,Sergei Eisenstein
698,Lewis Gilbert
699,John Glen
700,John Glen
701,Buster Keaton
702,Elia Kazan
703,Woody Allen
704,Richard Lester
705,Joseph L. Mankiewicz
707,John Glen
708,John Glen
709,John Glen
710,Martin Campbell
711,Gus Van Sant
712,Mike Newell
713,Jane Campion
714,Roger Spottiswoode
742,Lukas Moodysson
744,Tony Scott
745,M. Night Shyamalan
746,Bernardo Bertolucci
747,Edgar Wright
750,George Pollock
751,George Pollock
752,James McTeigue
753,John Cassavetes
754,John Woo
755,Robert Rodriguez
756,David Hand
757,George Pollock
758,George Pollock
759,Howard Hawks
760,Gérard Oury
761,Claude Zidi
762,Terry Gilliam
763,Peter Jackson
764,Sam Raimi
765,Sam Raimi
766,Sam Raimi
767,David Yates
768,Albert Hughes
769,Martin Scorsese
770,Victor Fleming
771,Chris Columbus
772,Chris Columbus
773,Jonathan Dayton
774,Louis Lumière
775,Georges Méliès
776,Jean Renoir
